Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Image Src
joocyee-joocyee-happy-me-day-crystal-gloss-8ml,"JOOCYEE Happy Me Day Crystal Gloss (8ml)","Experience the excellence of JOOCYEE with the JOOCYEE Happy Me Day Crystal Gloss (8ml). This premium lip care is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective lip care addition to their daily ritual.","JOOCYEE","Lip Care","JOOCYEE, Lip Care",TRUE,Title,Default Title,JOOCYEE-9168759783660,360,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/JOOCYEE_Crystal_Gloss.png?v=1772255028
joocyee-joocyee-12-shades-eyeshadow-palette-14g,"JOOCYEE 12 Shades Eyeshadow Palette (14g)","Experience the excellence of JOOCYEE with the JOOCYEE 12 Shades Eyeshadow Palette (14g). This premium makeup is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective makeup addition to their daily ritual.","JOOCYEE","Makeup","JOOCYEE, Makeup",TRUE,Title,Default Title,JOOCYEE-9151928172780,650,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/JOOCYEE12ShadesEyeshadowPalette.png?v=1771962965
judydoll-judydoll-liquid-contour-under-eye-brightening-duo-48g,"JUDYDOLL Liquid Contour & Under Eye Brightening Duo (4.8g)","JUDYDOLL Liquid Contour &amp; Under Eye Brightening Duo is designed to provide a flawless, powder-free finish with moderate film-forming speed, ensuring a flawless, well-blended look without harsh lines. It stays in place throughout the day, providing a professional finish that’s easy to achieve. Highlight and contour in one product for easy and natural dimension!","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158846939372,284,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/tao-khoi-dang-kem-judydoll-liquid-highlighter-contour-duo-0.png?v=1772551022
judydoll-judydoll-dual-flash-watery-lip-gloss-24g,"JUDYDOLL Dual Flash Watery Lip Gloss (2.4g)","JUDYDOLL Dual Flash Watery Lip Gloss feature is a watery, non-sticky texture that glides smoothly on lips without feeling heavy. The formula contains panthenol and vitamin E to moisturize lips, reducing dryness even with long wear. It has a subtle fruity or floral fragrance (not overpowering) and offers a natural, plumping effect. The slim, precise applicator helps coat lips evenly, making it easy for beginners to use.","JUDYDOLL","Lip Care","JUDYDOLL, Lip Care",TRUE,Title,Default Title,JUDYDOLL-9158846120172,284,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/JudydollDualFinishWateryLipGloss2_18.png?v=1772230320
judydoll-judydoll-little-pearl-highlighting-concealer-cushion-8g,"JUDYDOLL Little Pearl Highlighting Concealer Cushion (8g)","JUDYDOLL Little Pearl Highlighting Concealer Cushion is designed to deliver a luminous, lifting effect that mimics the natural glow of pearls. Infused with Tahitian pearl extract and light-reflecting particles, this innovative cushion concealer brightens, conceals, and contours for a plump, radiant complexion. Its user-friendly cushion applicator makes it perfect for quick touch-ups and seamless application, even for beginners.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158835863788,360,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/42e78b1dc0e8d98b74897a7dd81df23e_6f1d5cde-d44c-4a2a-99de-1118518e66c6.png?v=1772125815
judydoll-judydoll-2-in-1-blush-highlight-palette-9g,"JUDYDOLL 2-in-1 Blush Highlight Palette (9g)","Experience the excellence of JUDYDOLL with the JUDYDOLL 2-in-1 Blush Highlight Palette (9g). This premium makeup is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective makeup addition to their daily ritual.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158820135148,360,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/6976436772535-3.png?v=1772051960
judydoll-judydoll-3d-dual-ended-brow-pencil,"JUDYDOLL 3D Dual-Ended Brow Pencil","JUDYDOLL 3D Dual Eyebrow Pencil is an eyebrow pencil with a gel pencil and a mascara-like tip, helping to create perfectly brow shape. This innovative tool features a non-skin-staining tinted gel that colors and sets your brows in a single stroke, ensuring your brows are enhanced but your skin stays clear. The ultra-fine blade pencil smoothly outlines and fills brows with precision, giving you distinct, natural-looking 'wild brows'.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158819283180,170,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/screenshot-2024-10-21-154427-1.png?v=1771969027
judydoll-judydoll-liquid-eyeshadow-3g,"JUDYDOLL Liquid Eyeshadow (3g)","JUDYDOLL Liquid Eyeshadows are designed to keep your eyes looking fresh and radiant even in motion. It has high-impact pigments with all-day durability that stays put through workouts, heat, and long days. Lightweight on the lids with little to no creasing, great for those with a active lifestyle. Share G02 is a light shimmery pink shade with a silver undertone.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158817218796,246,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/17285547015501.png?v=1771616428
judydoll-judydoll-sport-chic-liquid-blush-45g,"JUDYDOLL Sport Chic Liquid Blush (4.5g)","JUDYDOLL Sport Chic Liquid Blush provides a naturally subtle redness and has a liquid consistency when applied. It is designed with an unique mushroom head applicator for clean and easy application. Its smooth, silky texture melts into the skin for a fresh, dewy finish that brightens the complexion.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9157068062956,246,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/6976436773044-2.png?v=1771615234
judydoll-judydoll-lip-oil-65g,"JUDYDOLL Lip Oil (6.5g)","JUDYDOLL Lip Oils features a clear, non-sticky formulation that imparts a dewy and luscious appearance to the lips. Its a great lightweight overlay that adds shine and a protective hydrating screen for lips.","JUDYDOLL","Lip Care","JUDYDOLL, Lip Care",TRUE,Title,Default Title,JUDYDOLL-9158850380012,170,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/JUDYDOLLLipOil5.png?v=1772574109
judydoll-judydoll-liquid-highlighter-48g,"JUDYDOLL Liquid Highlighter (4.8g)","JUDYDOLL Liquid Highlighter are used for meticulous color blending to create a soft and radiant look that naturally illuminates and enhances facial contours, for a beautiful appearance. The lightweight texture is easy to blend, enriched with hyaluronic acid essence for a moisturizing effect that prevents creasing and ensures a long-lasting finish.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158858211564,246,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/76ABB5A80EEE8D74_362df8ba-7052-4c82-aa29-070d3235102c.png?v=1772575885
judydoll-judydoll-pretty-blush-powder-2g,"JUDYDOLL Pretty Blush Powder (2g)","Experience the excellence of JUDYDOLL with the JUDYDOLL Pretty Blush Powder (2g). This premium makeup is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective makeup addition to their daily ritual.","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-9158826426604,151,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/6975242800425_900x900_ef3e23f4-4254-4d6e-bd68-89602ee8de66.png?v=1772053593
judydoll-judydoll-eyeliner-gel-75g,"JUDYDOLL Eyeliner Gel (7.5g)","Innovative, smudge-proof eyeliner gel with cushion mesh. <br>JUDYDOLL Eyeliner Gel is an innovative clay-like eyeliner cream that applies smoothly and with intense pigment. With an convenient integrated eyeliner brush that extends, you can bring this on-the-go. Unlike other cream eyeline...","JUDYDOLL","Makeup","JUDYDOLL, Makeup",TRUE,Title,Default Title,JUDYDOLL-8778505781484,322,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/JUDYDOLL_Eyeliner_Gel__7.5g_-removebg-preview.png?v=1766249843
kao-kao-megrhythm-steam-eye-mask-12pcs,"KAO MegRhythm Steam Eye Mask (12pcs)","An eye mask that gently releases tension from strained or sleep deprived eyes KAO MegRhythm Steam Eye Mask is designed to melt away tension from tired eyes with a soothing warmth. This innovative mask features advanced steam-circulation technology that delivers consistent, gentle heat at approximately 40°C for about 20 minutes. The ultra-thick, soft nonwoven fabric traps steam effectively—offering 1.5 times better heat retention than previous versions—while expanding to fit snugly against your eyes. Simply open and let it activate. Infused with natural osmanthus essential oils for a calming aromatherapy experience, this unisex mask becomes your go-to ritual for daily relaxation, whether at home, at work, or on the go. Treat your hardworking eyes to the comfort they deserve. Features Heats up to 40°C for about 20 minutes Single-use, convenient packaging for on-the-go use Fits comfortably around the eyes and helps relieve tension Immediately releases comfortable steam Skin Types Suitable for all skin types Made In Japan How to use Remove the eye mask from the bag. Tear off the perforation and put hooks on your ear. Close your eyes and enjoy for the next 20 minutes. Ingredient Highlights Cruelty-Free Alcohol-Free Paraben-Free Mineral Oil Free","KAO","Masks","KAO, Masks",TRUE,Title,Default Title,KAO-9060430348524,45,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Unscented.png?v=1762462865
kissme-kissme-speedy-mascara-remover,"KISSME Speedy Mascara Remover","KISSME Speedy Mascara Remover is a Japanese remover that easily melts away waterproof mascara and eyeliner. It instantly removes waterproof mascara without rubbing as it dissolves instantly and smoothly remove waterproof mascara upon application. This remover removes makeup while also nourishing the skin and lashes with ginseng root and royal jelly extracts, camellia oil, almond oil, argan oil, and wild rose oil. Features Instant removal of stubborn mascara Gentle on the lashes and skin Moisturizes and treats lashes to strengthen them Non-irritating Skin Types All skin types Made In Japan How to u se Please use this product to remove Super Waterproof Mascara Apply the remover evenly with a comb brush from the roots to the tips of the eyelashes. Wipe off with a cotton pad, or blend with any makeup remover. Rinse it off thoroughly with clean water. Note: If it leaves an oily feeling on the skin, please use face wash to double cleanse. Ingredient Highlights Alcohol-Free Sulfate-Free Fragrance-Free","KISSME","Makeup","KISSME, Makeup",TRUE,Title,Default Title,KISSME-7617990754540,342,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/KISSME_Speedy_Mascara_Remover-removebg-preview.png?v=1766251678
kracie-ichikami-kracie-ichikami-shampoo-conditioner-set-limited-spring-edition-480ml-480g,"KRACIE Ichikami Shampoo & Conditioner Set - Limited Spring Edition (480ml + 480g)","Experience the excellence of KRACIE Ichikami with the KRACIE Ichikami Shampoo & Conditioner Set - Limited Spring Edition (480ml + 480g). This premium hair care is formulated with high-quality Korean skincare ingredients to deeply nourish and revitalize your complexion. Designed for those seeking a luxurious and effective hair care addition to their daily ritual.","KRACIE Ichikami","Hair Care","KRACIE Ichikami, Hair Care",TRUE,Title,Default Title,KRACIEICHIKAMI-9170205475052,513,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Kracie_Ichikami_Spring_Limited_Edition_Set.png?v=1772551498
kundal-kundal-airy-volume-hyaluron-hair-care-set-2x300ml,"KUNDAL Airy Volume Hyaluron Hair Care Set (2x300ml)","A hyaluronic acid infused hair set for bouncy, full-bodied hair that lasts all day. KUNDAL Airy Volume Hyaluron Shampoo + Treatment helps to maintain the scalp's oil-water balance and promote healthy, voluminous hair that is light as air and lasts all day. Hyaluronic plumping technology delivers moisture deep into the scalp and hair. It is enriched with AHA and PHA to remove dead skin cells, dirt and impurities from the scalp. Featuring a floral Blossom Breeze fragrance. Features Lightweight, volumizing formula Floral fragrance Skin irritation test completed Cleanses and gently exfoliates scalp Hair Concerns Damaged Hair Flat Hair Dry Hair Hair Types Suitable for all hair types Made In KOREA 🇰🇷 How to use Massage KUNDAL Airy Volume Hyaluron Treatment into the scalp and hair to create lather. Rinse thoroughly with lukewarm water. Follow with KUNDAL Airy Volume Hyaluron Treatment. Key Highlights Hyaluronic Acid Ingredient Highlights Paraben-Free Silicone-Free Alcohol-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-9041425367276,854,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Kundal_Airy_Volume_Hyaluron_Set.png?v=1760988786
kundal-kundal-10x-caffeine-strengthening-scalp-serum-10ml,"KUNDAL 10X Caffeine Strengthening Scalp Serum (10ml)","Advanced scalp nutrition with peptides to strengthen and prevent hair thinning. KUNDAL 10X Caffeine Strengthening Scalp Serum is a potent anti-hair loss scalp serum, featuring vegetable caffeine green bean extract rooted in the ancient Italian TESTA tradition. With a powerful caffeine concentration of 10,000 ppm, it revitalizes hair roots and helps curb hair loss symptoms. This dermatologically tested formula strengthens thinning hair while improving scalp health. Enriched with black soybean extract, six natural herbs, biotin, and niacinamide, it deeply nourishes your scalp. Its lightweight, non-greasy texture absorbs quickly, making it perfect for daily use. Suitable for both men and women seeking effective scalp and hair thinning care. Features Improves hair elasiticity Relieves hair thinning and shedding Strengthens hair to prevent thinning and breakage Improves appearance of hairline and parting line Hair Concerns Hair Loss Dry Scalp Hair Types All hair types Made In South Korea How to use Part your hair in sections and apply the serum directly onto your scalp, focusing on areas of concern (i.e., parting line, hairline) Gently massage the serum into the scalp using your fingertips. Leave the serum in and style as desired, or let it air dry. Key Highlights High Caffeine Concentration (10,000 ppm): Energizes hair roots and helps reduce hair loss symptoms. 6 Peptides: nourishes scalp, boosts elasticity Menthol: instantly cools and refreshes scalp Turmeric Cell Exosomes: improves overall scalp health Ingredient Highlights Silicone-Free Paraben-Free Mineral Oil-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-9041425989868,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/10XCaffeineStrengtheningScalpSerum1.png?v=1761238604
kundal-kundal-airy-volume-hyaluron-serum-50ml,"KUNDAL Airy Volume Hyaluron Serum (50ml)","A hyaluronic acid infused serum that's light and airy. KUNDAL Airy Volume Hyaluron Serum is a lightweight, hydrating treatment designed to rejuvenate dry, frizzy hair. Enriched with eight forms of hyaluronic acid and a plant-derived oil blend, it delivers intense moisture and nourishment without weighing hair down. This serum smooths the hair cuticle, enhances shine, and shields against daily damage and breakage. Its airy, non-greasy formula absorbs quickly, leaving hair soft, easy to manage, and naturally bouncy. Clinically proven to boost hair gloss by 63% and effectively combat dryness. Features 24hr hydration and silkiness Heat protection for styling 43% tangle improvement Light and airy formula that's not heavy Hair Concerns Damaged Hair Dry Hair Frizzy Hair Hair Types Suitable for all hair types Made In South Korea How to use Towel-dry hair and pump a small amount (1–2 pumps for short hair, 3–4 for long hair) into your palms. Apply evenly to mid-lengths and ends, focusing on dry areas. Style as usual. Can also be used on dry hair as a finishing serum for extra shine. Key Highlights 8 types of Hyaluronic Acid: delivers moisture for full hydration 8 types of Peptides: smooths and adds shine Ingredient Highlights Sulfate-Free Paraben-Free Silicone-Free Alcohol-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-9041426743532,450,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Kundal_Airy_Hydra_Hyaluron.png?v=1762036026
kundal-kundal-protein-bonding-treatment-250ml,"KUNDAL Protein Bonding Treatment (250ml)","Spa-like hair care to strengthen and smooth damaged hair KUNDAL Protein Bonding Treatment helps you achieve salon-like hair care at home. It revitalizes fragile and damaged hair with the patented Bonding Technology™ which penetrates proteins and moisture deep into the hair cuticle, making the hair stronger and healthier. Unlock a beautiful, luminous shine with the Pink Glam Complex of Provence Rose, Tulip, and Hibiscus extracts. Violet Muguet: Experience the delicate and floral fragrance of Violet Muguet. This perfume evokes a fresh, spring-like feeling that brightens up any day Features Double care bonding technology Increases hair strength and repairs damaged hair Infuses hair with moisture Pink-Glam Complex leaves hair soft and silky Hair Concerns Damaged Hair Dry Hair Split Ends Frizzy Hair Hair Types All hair types Made In South Korea How to use After shampoo, apply a generous amount of treatment evenly to scalp and hair. Rinse off with warm water after 2~3 minutes. Key Ingredients Protein Bonding System: strengthens hair Hydro Booster: 6 types of hyaluronic acid to moisturize Ingredient Highlights Mineral-Oil Free Paraben-Free Sulfate-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757736931564,550,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/KUNDAL_Protein_Bonding_Treatment_250ml.png?v=1766255227
kundal-kundal-honey-macadamia-hair-care-set-2x500ml,"KUNDAL Honey & Macadamia Hair Care Set (2x500ml)","Plant based fragrant hair set for smooth, healthy hair. KUNDAL Honey &amp; Macadamia Shampoo + Treatment Set uses clean, natural hair extracts for hair revitalization. Featuring honey and macadamia, these are well known to be highly nourishing and moisturizing for the hair. The formula is free of unnecessary chemicals and is weakly acidic to provide the ideal pH balance for healthy hair and scalp. Available Scents: White Musk: Indulge in the sensual and sophisticated aroma of White Musk. This fragrance offers a rich, warm scent that adds a touch of luxury to cold winter days. Cherry Blossom: Experience the delicate beauty of spring with Cherry Blossom. This light, floral scent is reminiscent of blooming cherry trees, filling the air with a sense of renewal. Features 44 types of plant-derived ingredients pH balanced formula Moisturizes and adds shine to tame frizzy hair Fragrant, long-lasting scent Hair Concerns Damaged hair Dry Hair Frizzy Hair Hair Types All hair types Made In South Korea How to use Take an adequate amount of shampoo, apply all over the scalp and hair and rinse off with water. Ingredients Key Highlights Honey Macadamia Ingredient Highlights Sulfate-Free Mineral Oil Free Paraben-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-9041422811372,911,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Kundal_White_Musk.png?v=1762037119
kundal-kundal-honey-macadamia-pure-body-wash-body-lotion-set-2x500ml,"KUNDAL Honey & Macadamia Pure Body Wash + Body Lotion Set (2x500ml)","An aloe vera infused, moisturizing body wash. KUNDAL Honey &amp; Macadamia Pure Body Wash is packed with 33 different natural extracts, including moisturizing Honey Extract and upgraded Macadamia Ternifolia Seed Extract, plus other plant-derived natural oils that pamper the skin and leave it revitalized. It is pH-balanced and gentle, so it will not strip the skin's moisture barrier. This clean beauty product tested negative for 10 harmful . KUNDAL's Signature Fragrances: Pink Grapefruit: Energize your senses with the zesty aroma of Pink Grapefruit. This invigorating scent is a burst of citrusy freshness, perfect for hot summer days. Features Moisturizing body wash infused with aloe vera and natural extracts Gel type that lathers easily pH-balanced Free from 10 harmful ingredients Skin Concerns Dehydrated Skin Skin Types Suitable for all skin types Made In South Korea How to use Take an adequate amount of product and apply to body in the shower, creating a strong lather. Rinse thoroughly. Ingredients Key Highlights Aloe Barbadensis Leaf Juice Honey Extract Macadamia Ternifolia Seed Extract Ingredient Highlights Mineral Oil Free Paraben-Free Silicone-Free Alcohol-Free","KUNDAL","Bath & Body","KUNDAL, Bath & Body",TRUE,Title,Default Title,KUNDAL-9061960253676,911,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Kundal_Pink_Grapefruit.png?v=1762036505
kundal-kundal-caffeine-shampoo-500ml,"KUNDAL Caffeine Shampoo (500ml)","A hydrating formula that promotes shine and stimulates hair growth. KUNDAL Caffeine Shampoo is a one-stop shop for hair and scalp health. The star ingredient is caffeine, extracted from raw coffee beans according to Italian tradition, which stimulates blood circulation; offers antioxidant protection; and promotes hair growth. Other key include hydrating Panthenol, Niacinamide for shine, and Salicylic Acid to exfoliate the scalp and prevent dandruff and dryness. It contains 24 plant extracts and coconut-derived surfactants to gently yet thoroughly cleanse the scalp and hair. Available Scents Baby Powder: Relive the comforting aroma of Baby Powder. This scent offers a soft, gentle fragrance that evokes a sense of warmth and coziness. White Musk: Indulge in the sensual and sophisticated aroma of White Musk. This fragrance offers a rich, warm scent that adds a touch of luxury to cold winter days. Cherry Blossom: Experience the delicate beauty of spring with Cherry Blossom. This light, floral scent is reminiscent of blooming cherry trees, filling the air with a sense of renewal. Features Addresses dry dandruff and scalp Promotes hair growth Enhances shine Gentle cleansing without irritating the scalp Hair Concerns Dry Scalp Hair Growth Hair Types Suitable for all hair types Made In South Korea How to use Wet hair and scalp with water. Massage product into the scalp and create lather. Massage hair and scalp. Rinse thoroughly with lukewarm water. Ingredients Key Highlights Caffeine Panthenol Niacinamide Salicylic Acid Ingredient Highlights Paraben-Free Silicone-Free Oil-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757764227308,607,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Caffeine_Shampoo.png?v=1754431722
kundal-kundal-tea-tree-macadamia-deep-cleansing-shampoo-500ml,"KUNDAL Tea Tree & Macadamia Deep Cleansing Shampoo (500ml)","An invigorating deep cleansing shampoo enriched with tea tree extract and peat water. KUNDAL Tea Tree &amp; Macadamia Deep Cleansing Shampoo is infused with 43 different natural extracts to nurture and rejuvenate the hair. It contains gentle plant-derived surfactants to gently yet deeply cleanse the scalp without irritation. It is pH-balanced to promote healthier scalp and hair. With 10,000 ppm Tea Tree Leaf Extract &amp; 5,000 ppm Peat Water, the scalp is left moisturized and free from impurities. White Musk: Indulge in the sensual and sophisticated aroma of White Musk. This fragrance offers a rich, warm scent that adds a touch of luxury to cold winter days. Baby Powder: Relive the comforting aroma of Baby Powder. This scent offers a soft, gentle fragrance that evokes a sense of warmth and coziness. Cherry Blossom: Experience the delicate beauty of spring with Cherry Blossom. This light, floral scent is reminiscent of blooming cherry trees, filling the air with a sense of renewal. Features Plant-derived sulfate cleanses gently and effectively Moisturizing for scalp and hair pH-balanced Over 40 different plant-derived extract Hair Concerns Dry Scalp Hair Types Suitable for all hair types Made In South Korea How to use Wet hair and scalp with water. Massage product into the scalp and create lather. Massage hair and scalp. Rinse thoroughly with lukewarm water. Ingredients Key Highlights 10,000 ppm Tea Tree Leaf Extract 5,000 ppm Peat Water 4,000 ppm Macadamia Seed Extract Ingredient Highlights Paraben-Free Silicone-Free Sulfate-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757776548076,474,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/500.png?v=1735333660
kundal-kundal-protein-bonding-shampoo-500ml,"KUNDAL Protein Bonding Shampoo (500ml)","Spa-like hair care to strengthen and smooth damaged hair KUNDAL Protein Bonding Shampoo helps you achieve salon-like hair care at home. It revitalizes fragile and damaged hair with the patented Bonding Technology™ which penetrates proteins and moisture deep into the hair cuticle, making the hair stronger and healthier. Unlock a beautiful, luminous shine with the Pink Glam Complex of Provence Rose, Tulip, and Hibiscus extracts. Violet Muguet: Experience the delicate and floral fragrance of Violet Muguet. This perfume evokes a fresh, spring-like feeling that brightens up any day Features Double care bonding technology Increases hair strength and repairs damaged hair Infuses hair with moisture Effectively cleans while balancing pH Pink-Glam Complex leaves hair soft and silky Hair Concerns Damaged Hair Dry Hair Split Ends Frizzy Hair Hair Types All hair types. Made In South Korea How to use Take an adequate amount of shampoo, apply all over the scalp and hair and rinse off with water. Key Ingredients Protein Bonding System: strengthens hair Hydro Booster: 6 types of hyaluronic acid to moisturize Ingredient Highlights Mineral-Oil Free Silicone-Free Paraben-Free Sulfate-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757730377964,650,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Protein_Shampoo.png?v=1754431922
kundal-kundal-airy-volume-hyaluron-treatment-500ml,"KUNDAL Airy Volume Hyaluron Treatment (500ml)","A hyaluronic acid infused treatment that delivers moisture deep into the scalp and hair. KUNDAL Airy Volume Hyaluron Treatment helps to maintain the scalp's oil-water balance and promotes healthy, voluminous hair that is light as air. Hyaluronic plumping technology delivers moisture deep into the scalp and hair. It also contains Blue Marine Complex to nourish and strengthen damaged hair. Featuring a floral Blossom Breeze fragrance. Features Lightweight, volumizing formula Floral fragrance Skin irritation test completed Moisturizing and repairs damaged hair Hair Concerns Damaged Hair Flat Hair Dry Hair Hair Types Suitable for all hair types Made In South Korea How to use Massage product into the scalp and hair. Rinse thoroughly. Key Highlights Hyaluronic Acid Ingredient Highlights Sulfate-Free Mineral Oil Free Paraben-Free Silicone-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757747745004,512,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Remove_background_project.png?v=1735326654
kundal-kundal-protein-bonding-no-wash-treatment-130ml,"KUNDAL Protein Bonding No Wash Treatment (130ml)","Spa-like hair care to strengthen and smooth damaged hair KUNDAL Protein Bonding No Wash Treatment helps you achieve salon-like hair care at home. It revitalizes fragile and damaged hair with the patented Bonding Technology™ which penetrates proteins and moisture deep into the hair cuticle, making the hair stronger and healthier. Unlock a beautiful, luminous shine with the Pink Glam Complex of Provence Rose, Tulip, and Hibiscus extracts. Violet Muguet: Experience the delicate and floral fragrance of Violet Muguet. This perfume evokes a fresh, spring-like feeling that brightens up any day Features Double care bonding technology Increases hair strength and repairs damaged hair Infuses hair with moisture Pink-Glam Complex leaves hair soft and silky Leave on treatment that also prevents heat damage Hair Concerns Damaged Hair Dry Hair Split Ends Frizzy Hair Hair Types All hair types Made In South Korea How to use Wet hair: After shampooing, evenly apply entire hair and tip of damaged hair except for scalp and absorb. Dry hair: Apply extremely small amount of the product on damaged area and absorb to prevent hair lumps. Tip: When applied on hair before using heat devices, it minimizes hair damage. Key Ingredients Protein Bonding System: strengthens hair Hydro Booster: 6 types of hyaluronic acid to moisturize Ingredient Highlights Mineral-Oil Free Paraben-Free Sulfate-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757738406124,569,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/KUNDAL_Protein_Bonding_No_Wash_Treatment_130ml.png?v=1766255227
kundal-kundal-head-spa-scalp-care-scalp-tonic-100ml,"KUNDAL Head Spa & Scalp Care+ Scalp Tonic (100ml)","Spa-like hair care tonic to prevent hair loss KUNDAL Head Spa &amp; Scalp Care+ Scalp Tonic is an anti-hair loss tonic, crafted with the essence of vegetable caffeine green bean extract from a centuries-old Italian TESTA tradition. Green coffee bean caffeine helps prevent hair loss and stimulate the hair follicle, leading to more growth. Kundal Scalp Tonic improves blood circulation to the scalp which in turn delivers oxygen and other nutrients to the scalp and promotes healthy hair follicles. It also soothes the scalp thanks to like pine tree leaf extract, tea tree oil and peppermint extracts. It is free of harmful ingredients and uses only the best, natural ingredients to promote a healthier scalp and hair. Features Rejuvenating scalp relief Promotes healthier scalp for healthier hair Stimulates blood circulation and hair follicles Free of harmful ingredients Hair Concerns Hair Loss Hair Types All hair types. Made In South Korea How to use Shake before use Towel dry hair and apply appropriate amount onto scalp. Massage gently for 1-2 minutes. Ingredients Key Ingredients Caffeine: moisturizes and restore oil-water balance Pinus Densiflora Leaf Extract: anti-oxidant, anti-inflammatory and soothing Ingredient Highlights Mineral-Oil Free Silicone-Free Paraben-Free Sulfate-Free","KUNDAL","Hair Care","KUNDAL, Hair Care",TRUE,Title,Default Title,KUNDAL-8757727166700,607,shopify,100,deny,manual,https://cdn.shopify.com/s/files/1/0515/4589/9157/files/KUNDAL_Head_Spa_Scalp_Care_Scalp_Tonic_100ml.png?v=1771864599
